,game_id,date,home,home_goals,away,away_goals,hoa,result,result_bool,Game,Team,TOI,CF_avg,CA_avg,CF%_avg,FF_avg,FA_avg,FF%_avg,SF_avg,SA_avg,SF%_avg,GF_avg,GA_avg,GF%_avg,xGF_avg,xGA_avg,xGF%_avg,SCF_avg,SCA_avg,SCF%_avg,HDCF_avg,HDCA_avg,HDCF%_avg,HDSF_avg,HDSA_avg,HDSF%_avg,HDGF_avg,HDGA_avg,HDGF%_avg,HDSH%_avg,HDSV%_avg,MDCF_avg,MDCA_avg,MDCF%_avg,MDSF_avg,MDSA_avg,MDSF%_avg,MDGF_avg,MDGA_avg,MDGF%_avg,MDSH%_avg,MDSV%_avg,LDCF_avg,LDCA_avg,LDCF%_avg,LDSF_avg,LDSA_avg,LDSF%_avg,LDGF_avg,LDGA_avg,LDGF%_avg,LDSH%_avg,LDSV%_avg,SH%_avg,SV%_avg,PDO_avg,blocks_avg
21,2016020022,2016-10-15,Capitals,2,Islanders,1,H,H_reg,1,"2016-10-15 - Islanders 1, Capitals 2",Washington Capitals,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2016020023,2016-10-15,Blue Jackets,2,Sharks,3,H,A_reg,0,"2016-10-15 - Sharks 3, Blue Jackets 2",Columbus Blue Jackets,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2016020024,2016-10-15,Wild,4,Jets,3,H,H_reg,1,"2016-10-15 - Jets 3, Wild 4",Minnesota Wild,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2016020025,2016-10-15,Blues,3,Rangers,2,H,H_reg,1,"2016-10-15 - Rangers 2, Blues 3",St Louis Blues,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2016020026,2016-10-15,Blackhawks,5,Predators,3,H,H_reg,1,"2016-10-15 - Predators 3, Blackhawks 5",Chicago Blackhawks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2016020027,2016-10-15,Avalanche,6,Stars,5,H,H_reg,1,"2016-10-15 - Stars 5, Avalanche 6",Colorado Avalanche,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2016020028,2016-10-15,Coyotes,4,Flyers,3,H,H_reg,1,"2016-10-15 - Flyers 3, Coyotes 4",Arizona Coyotes,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2016020029,2016-10-15,Canucks,2,Flames,1,H,H_reg,1,"2016-10-15 - Flames 1, Canucks 2",Vancouver Canucks,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2016020030,2016-10-16,Islanders,3,Ducks,2,H,H_reg,1,"2016-10-16 - Ducks 2, Islanders 3",New York Islanders,60.9,-7.5,10.0,-7.3799999999999955,-11.0,2.0,-7.195,-10.5,1.0,-11.145000000000003,0.0,0.0,-1.25,-1.0899999999999999,0.665,-13.269999999999996,-6.0,1.0,-5.084999999999994,-6.0,2.5,-19.644999999999996,-6.5,1.5,-22.045,0.0,0.5,-12.5,3.375,2.950000000000003,0.0,-1.5,4.779999999999994,-2.0,-2.5,7.505000000000003,0.0,-0.5,25.0,5.414999999999999,7.14500000000001,-3.5,9.0,-11.245000000000005,-2.5,1.0,-10.200000000000003,0.0,-0.5,25.0,0.0,2.2750000000000057,1.995000000000001,3.355000000000018,0.0535000000000001,8.0
30,2016020031,2016-10-16,Oilers,2,Sabres,6,H,A_reg,0,"2016-10-16 - Sabres 6, Oilers 2",Edmonton Oilers,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
